regime,feature_level,n_template_dims,classifier,n_folds,accuracy_mean,accuracy_std,accuracy_ci_lo,accuracy_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,eer_mean,eer_std,eer_ci_lo,eer_ci_hi,precision_mean,precision_std,precision_ci_lo,precision_ci_hi,recall_mean,recall_std,recall_ci_lo,recall_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,ap_mean,ap_std,ap_ci_lo,ap_ci_hi,rank_1_accuracy_mean,rank_5_accuracy_mean,rank_10_accuracy_mean,rank_20_accuracy_mean
identity,5,156,LR,25,0.937,0.00450924975282287,0.9319882241685576,0.9420117758314425,0.9978590404040404,0.0007210536823805515,0.9970576300549541,0.9986604507531267,0.004872020202020204,0.0008446736041822819,0.0039332133079802494,0.005810827096060158,0.9400179258692237,0.004165535528251159,0.935388168940716,0.9446476827977315,0.937,0.004509249752822878,0.9319882241685576,0.9420117758314425,0.937233413992857,0.004449565613992504,0.932287973703003,0.942178854282711,0.9655525496205688,0.0025646174546114847,0.9627021225028713,0.9684029767382663,0.937,0.9897800000000001,0.99492,0.9977400000000002
identity,5,156,SVM,25,0.92944,0.006067879915313626,0.9226958949770689,0.9361841050229311,0.998640888888889,0.0003911391243563384,0.9982061598945694,0.9990756178832086,0.0067779797979798,0.0011656404271242456,0.0054824364501853485,0.008073523145774253,0.9380134887721112,0.00487417966421491,0.9325961140028544,0.9434308635413681,0.92944,0.006067879915313658,0.9226958949770689,0.9361841050229311,0.9312290398224428,0.005803300781906062,0.9247789995284582,0.9376790801164273,0.9724742704293392,0.0035589843582233445,0.9685186607894298,0.9764298800692486,0.9418,0.9785399999999999,0.98714,0.99354
identity,5,156,DT,25,0.8105,0.008556186845396321,0.8009902826874431,0.8200097173125569,0.9047408535353534,0.004325345869440139,0.8999334764594843,0.9095482306112225,0.09523121212121213,0.004314593599945883,0.09043578558419946,0.10002663865822481,0.818733561449283,0.007772218330319542,0.810095180760743,0.827371942137823,0.8105,0.008556186845396363,0.8009902826874431,0.8200097173125569,0.8106669946983683,0.008211308547004734,0.8015405900908986,0.819793399305838,0.6876341183089519,0.013182585890498017,0.6729824203584113,0.7022858162594926,0.8105,0.8174000000000001,0.82818,0.85922
identity,5,156,RF,25,0.9506399999999999,0.005095995159600013,0.9449760898646072,0.9563039101353926,0.9987424090909092,0.0005562972746104012,0.9981241161621921,0.9993607020196262,0.004055656565656566,0.0009239909802215584,0.003028692898308986,0.005082620233004147,0.9529125303488516,0.004615779992631561,0.9477823521865433,0.9580427085111599,0.95064,0.005095995159600017,0.9449760898646073,0.9563039101353927,0.9506420784996712,0.005103124588791232,0.9449702444073297,0.9563139125920127,0.9728851878737439,0.0022123499701227536,0.9704262861231784,0.9753440896243094,0.9507599999999999,0.9917200000000002,0.9961800000000001,0.9985199999999999
identity,6,182,MLP,25,0.8746799999999999,0.013326727530292883,0.8598680967766915,0.8894919032233083,0.9967580101010101,0.0009042322391597274,0.9957530071558095,0.9977630130462106,0.01151767676767677,0.0022146974538125867,0.009056165921881118,0.013979187613472423,0.8782667430936736,0.013091863270142954,0.8637158781998462,0.892817607987501,0.87468,0.013326727530292903,0.8598680967766916,0.8894919032233084,0.8727798262794694,0.013911194398392652,0.8573183212189623,0.8882413313399764,0.922563230783273,0.010841652045280106,0.9105133482813275,0.9346131132852185,0.8746799999999999,0.9764,0.98936,0.99664
identity,6,182,LR,25,0.9375999999999999,0.004120578438358701,0.9330202103318848,0.942179789668115,0.9979816363636362,0.0007869889078533483,0.9971069427440328,0.9988563299832397,0.004889696969696972,0.0008670221795219635,0.0039260508993207615,0.005853343040073182,0.9404199902301358,0.00405428514544543,0.9359138818042276,0.9449260986560439,0.9375999999999999,0.004120578438358675,0.9330202103318849,0.9421797896681149,0.937687921659408,0.004183279288780272,0.9330384435455471,0.9423373997732688,0.9660914407689641,0.002806320536127778,0.962972374358983,0.9692105071789453,0.9375999999999999,0.9904400000000001,0.9949600000000001,0.9981200000000001
identity,6,182,SVM,25,0.93068,0.005543163958125947,0.9245190870592903,0.9368409129407096,0.9987257777777778,0.00038455126434018734,0.9982983708169272,0.9991531847386285,0.006402626262626264,0.0011233722593777524,0.005154061590479266,0.007651190934773263,0.9393720370371702,0.00407544178002556,0.9348424142096042,0.9439016598647362,0.93068,0.005543163958125938,0.9245190870592903,0.9368409129407096,0.9324935357194732,0.0051687268541718194,0.9267487884229083,0.9382382830160382,0.9735562165779271,0.0034293196721474997,0.9697447218962676,0.9773677112595867,0.9434,0.9805600000000001,0.9880800000000001,0.9938600000000001
identity,6,182,DT,25,0.8107200000000002,0.010033361018787915,0.7995684872166113,0.8218715127833891,0.9048709040404042,0.005053081580803212,0.8992546899185045,0.9104871181623038,0.09510444444444445,0.005038462593701757,0.08950447849912663,0.10070441038976227,0.8185943921351989,0.009722352704602576,0.8077885474868332,0.8294002367835647,0.8107200000000002,0.010033361018787964,0.7995684872166113,0.8218715127833891,0.8107999385613079,0.009774108691841246,0.7999365700630351,0.8216633070595808,0.6877842152275647,0.01493201659025152,0.6711881240895943,0.7043803063655352,0.8107200000000002,0.8175800000000001,0.8287,0.85866
identity,6,182,RF,25,0.95112,0.004763752022653299,0.9458253593030254,0.9564146406969746,0.9988413232323232,0.0004355713393179312,0.9983572103463834,0.9993254361182631,0.0038345454545454555,0.0007746830786805489,0.002973529067434052,0.004695561841656859,0.9531296973819966,0.004321421382770677,0.9483266821508952,0.957932712613098,0.95112,0.004763752022653314,0.9458253593030254,0.9564146406969746,0.95100845218523,0.004747342937688337,0.9457320492572749,0.9562848551131851,0.9731452284788893,0.0020906511299356007,0.9708215880998152,0.9754688688579634,0.9510200000000001,0.99216,0.9962600000000001,0.9987
single_key,1,109,MLP,25,0.80536,0.016848911933217917,0.7866333882038493,0.8240866117961506,0.9945191414141413,0.0009535679552186715,0.9934593046134382,0.9955789782148444,0.019992626262626267,0.0032334735234892647,0.016398803488341614,0.02358644903691092,0.8062204973891747,0.017670198119062543,0.7865810724905036,0.8258599222878458,0.80536,0.01684891193321792,0.7866333882038493,0.8240866117961506,0.8007942718253817,0.01766295350175204,0.7811628989087331,0.8204256447420302,0.867424922885202,0.015818857849950983,0.849843157891197,0.885006687879207,0.80536,0.9518,0.9769,0.9909600000000001
single_key,1,109,LR,25,0.86342,0.007132203960441219,0.855492959052339,0.8713470409476609,0.997033424242424,0.000471951067291235,0.9965088773482998,0.9975579711365482,0.011780000000000002,0.001336822774566217,0.010294197163663768,0.013265802836336237,0.8688208789134779,0.006818791306858691,0.8612421783879703,0.8763995794389855,0.86342,0.007132203960441213,0.855492959052339,0.8713470409476609,0.8630170682138274,0.007149309532749706,0.8550710153908928,0.870963121036762,0.9150539530690651,0.006057367366712476,0.9083215321487884,0.9217863739893418,0.86342,0.97234,0.9886400000000001,0.9961800000000001
