feature_level,population,abs_correlation
6,mated,0.6161066792842308
6,mated,0.634485213770593
6,mated,0.650835638434517
6,mated,0.6508706113509207
6,mated,0.6136310438948817
6,mated,0.6245830135493059
6,mated,0.6496831911602667
6,mated,0.6317475478449873
6,mated,0.6490764167747869
6,mated,0.6256300435251065
6,mated,0.6826290671783716
6,mated,0.6447152208389155
6,mated,0.6069853077905116
6,mated,0.6438352317575767
6,mated,0.6444589516334739
6,mated,0.6323787609083975
6,mated,0.6455557852942237
6,mated,0.6835939603316853
6,mated,0.6435524898760732
6,mated,0.6885851932494326
6,mated,0.6528263785894726
6,mated,0.641384791228037
6,mated,0.6477459418829477
6,mated,0.6189417468643365
6,mated,0.6836188193692655
6,mated,0.6771991718807958
6,mated,0.6142946703749891
6,mated,0.6807633663114623
6,mated,0.6708252613591527
6,mated,0.6455620985838617
6,mated,0.6620608922337247
6,mated,0.6263356259064564
6,mated,0.6460460631146686
6,mated,0.6622852362513316
6,mated,0.640591985555324
6,mated,0.6278124090520045
6,mated,0.5907811164515373
6,mated,0.5982383117518133
6,mated,0.5944901397844061
6,mated,0.591714712237609
6,mated,0.5880231400190038
6,mated,0.6135214829127414
6,mated,0.617457025591097
6,mated,0.5986306411294022
6,mated,0.6471396891998794
6,mated,0.5960320777920429
6,mated,0.6012142759253694
6,mated,0.5852055791901669
6,mated,0.6012079405086863
6,mated,0.5827110547731637
6,mated,0.5982458170300733
6,mated,0.5925473935048456
6,mated,0.6267712834621254
6,mated,0.6134816261544913
6,mated,0.5979850930765285
6,mated,0.5730790902503736
6,mated,0.597528012617848
6,mated,0.5868381696914369
6,mated,0.5820767339180646
6,mated,0.592666271260873
6,mated,0.5779866163475109
6,mated,0.6081808383096692
6,mated,0.5747114458473012
6,mated,0.589692299300976
6,mated,0.5686507265047684
6,mated,0.6046398330306695
6,mated,0.5788925921981632
6,mated,0.6010189002470689
6,mated,0.6037523540945693
6,mated,0.5661719390316483
6,mated,0.5851449363682061
6,mated,0.5958431439990544
6,mated,0.5932618974110335
6,mated,0.5741246404325585
6,mated,0.5788762462780782
6,mated,0.5830289285103982
6,mated,0.6024890982688256
6,mated,0.6154099966316687
6,mated,0.5921800737082097
6,mated,0.5870761697742146
6,mated,0.5934503550721113
6,mated,0.5971820876171365
6,mated,0.6031049270874921
6,mated,0.5919390099103086
6,mated,0.6003200135562907
6,mated,0.5697276801653871
6,mated,0.59827302313829
6,mated,0.5850230107918756
6,mated,0.5918885587062999
6,mated,0.5868024467539813
6,mated,0.5908278785396532
6,mated,0.5861530773525558
6,mated,0.5672908760295282
6,mated,0.5824350969522325
6,mated,0.6063885953710481
6,mated,0.6047884327023118
6,mated,0.5917667214238154
6,mated,0.5842885984852149
6,mated,0.6107860801049625
6,mated,0.5707536003715937
6,mated,0.588005039023851
6,mated,0.5943215501085815
6,mated,0.5798496242500952
6,mated,0.5823481348842539
6,mated,0.609524681624437
6,mated,0.5766447595518772
6,mated,0.6638588149307248
6,mated,0.5990734623800625
6,mated,0.5507276892755181
6,mated,0.6048273759868228
6,mated,0.5774268252020279
6,mated,0.5807338932064545
6,mated,0.5817768918878353
